number,name,status
723,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Provisional
291,"Non-normative PEP containing background, guidelines or other information relevant to the Python ecosystem",Final
574,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Final
224,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Rejected
433,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Superseded
360,"Normative PEP describing or proposing a change to a Python community process, workflow or governance",Final
460,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Withdrawn
530,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Final
230,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Final
725,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Draft
392,"Non-normative PEP containing background, guidelines or other information relevant to the Python ecosystem",Final
648,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Rejected
468,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Final
459,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Withdrawn
540,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Final
495,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Final
726,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Draft
592,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Final
722,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Rejected
342,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Final
321,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Withdrawn
610,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Final
532,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Deferred
486,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Final
8013,"Non-normative PEP containing background, guidelines or other information relevant to the Python ecosystem",Rejected
211,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Rejected
580,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Rejected
544,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Accepted
3,"Normative PEP describing or proposing a change to a Python community process, workflow or governance",Withdrawn
654,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Final
3151,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Final
428,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Final
710,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Draft
663,"Non-normative PEP containing background, guidelines or other information relevant to the Python ecosystem",Rejected
679,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Draft
713,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Rejected
305,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Final
287,"Non-normative PEP containing background, guidelines or other information relevant to the Python ecosystem",Active
662,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Rejected
734,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Draft
404,"Non-normative PEP containing background, guidelines or other information relevant to the Python ecosystem",Final
3146,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Withdrawn
729,"Normative PEP describing or proposing a change to a Python community process, workflow or governance",Active
327,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Final
588,"Non-normative PEP containing background, guidelines or other information relevant to the Python ecosystem",Draft
255,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Final
643,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Final
510,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Rejected
520,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Final
293,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Final
397,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Final
368,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Deferred
409,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Final
693,"Non-normative PEP containing background, guidelines or other information relevant to the Python ecosystem",Active
314,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Superseded
563,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Accepted
617,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Accepted
3154,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Final
526,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Final
485,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Final
3126,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Rejected
3133,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Rejected
265,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Rejected
691,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Accepted
220,"Non-normative PEP containing background, guidelines or other information relevant to the Python ecosystem",Rejected
279,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Final
569,"Non-normative PEP containing background, guidelines or other information relevant to the Python ecosystem",Active
294,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Rejected
434,"Non-normative PEP containing background, guidelines or other information relevant to the Python ecosystem",Active
531,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Withdrawn
550,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Withdrawn
622,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Superseded
218,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Final
561,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Final
446,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Final
3155,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Final
379,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Withdrawn
456,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Final
571,"Non-normative PEP containing background, guidelines or other information relevant to the Python ecosystem",Superseded
318,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Final
579,"Non-normative PEP containing background, guidelines or other information relevant to the Python ecosystem",Final
338,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Final
398,"Non-normative PEP containing background, guidelines or other information relevant to the Python ecosystem",Final
3003,"Normative PEP describing or proposing a change to a Python community process, workflow or governance",Final
419,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Deferred
3121,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Final
410,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Rejected
246,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Rejected
396,"Non-normative PEP containing background, guidelines or other information relevant to the Python ecosystem",Rejected
705,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Draft
514,"Non-normative PEP containing background, guidelines or other information relevant to the Python ecosystem",Active
534,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Deferred
628,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Final
103,"Non-normative PEP containing background, guidelines or other information relevant to the Python ecosystem",Withdrawn
304,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Withdrawn
570,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Final
502,"Non-normative PEP containing background, guidelines or other information relevant to the Python ecosystem",Rejected
253,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Final
259,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Rejected
274,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Final
401,"Normative PEP describing or proposing a change to a Python community process, workflow or governance",April Fool!
538,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Final
633,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Rejected
585,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Final
271,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Rejected
478,"Non-normative PEP containing background, guidelines or other information relevant to the Python ecosystem",Final
640,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Rejected
241,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Superseded
102,"Non-normative PEP containing background, guidelines or other information relevant to the Python ecosystem",Superseded
721,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Final
646,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Accepted
660,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Final
730,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Draft
515,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Final
309,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Final
8105,"Non-normative PEP containing background, guidelines or other information relevant to the Python ecosystem",Active
703,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Accepted
612,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Accepted
365,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Rejected
715,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Final
3138,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Final
499,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Deferred
278,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Final
673,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Accepted
8104,"Non-normative PEP containing background, guidelines or other information relevant to the Python ecosystem",Active
475,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Final
8011,"Non-normative PEP containing background, guidelines or other information relevant to the Python ecosystem",Rejected
217,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Final
3120,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Final
376,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Final
706,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Final
423,"Non-normative PEP containing background, guidelines or other information relevant to the Python ecosystem",Deferred
3105,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Final
452,"Non-normative PEP containing background, guidelines or other information relevant to the Python ecosystem",Final
576,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Withdrawn
582,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Rejected
664,"Non-normative PEP containing background, guidelines or other information relevant to the Python ecosystem",Active
378,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Final
238,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Final
641,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Rejected
620,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Withdrawn
3114,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Final
3113,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Final
801,"Non-normative PEP containing background, guidelines or other information relevant to the Python ecosystem",Active
351,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Rejected
3140,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Rejected
302,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Final
345,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Superseded
549,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Rejected
666,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Rejected
685,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Accepted
3129,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Final
584,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Final
491,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Deferred
3107,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Final
412,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Final
416,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Rejected
658,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Accepted
611,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Withdrawn
393,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Final
42,"Normative PEP describing or proposing a change to a Python community process, workflow or governance",Withdrawn
3134,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Final
3136,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Rejected
329,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Rejected
618,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Final
424,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Final
518,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Final
507,"Normative PEP describing or proposing a change to a Python community process, workflow or governance",Rejected
8102,"Non-normative PEP containing background, guidelines or other information relevant to the Python ecosystem",Final
536,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Withdrawn
686,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Accepted
674,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Deferred
385,"Normative PEP describing or proposing a change to a Python community process, workflow or governance",Final
702,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Accepted
615,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Accepted
363,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Rejected
449,"Normative PEP describing or proposing a change to a Python community process, workflow or governance",Final
336,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Rejected
627,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Final
362,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Final
638,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Draft
509,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Superseded
325,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Rejected
440,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Final
447,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Deferred
373,"Non-normative PEP containing background, guidelines or other information relevant to the Python ecosystem",Final
3137,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Final
435,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Final
370,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Final
488,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Final
250,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Final
8101,"Non-normative PEP containing background, guidelines or other information relevant to the Python ecosystem",Final
3132,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Final
581,"Normative PEP describing or proposing a change to a Python community process, workflow or governance",Accepted
258,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Rejected
634,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Final
389,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Final
3112,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Final
3119,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Final
264,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Final
295,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Rejected
209,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Withdrawn
712,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Draft
310,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Rejected
593,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Accepted
552,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Final
650,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Withdrawn
551,"Non-normative PEP containing background, guidelines or other information relevant to the Python ecosystem",Withdrawn
704,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Withdrawn
3131,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Final
625,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Accepted
690,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Rejected
642,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Rejected
8012,"Non-normative PEP containing background, guidelines or other information relevant to the Python ecosystem",Rejected
332,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Rejected
687,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Accepted
415,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Final
573,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Final
653,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Draft
3148,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Final
602,"Non-normative PEP containing background, guidelines or other information relevant to the Python ecosystem",Accepted
372,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Final
480,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Draft
442,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Final
516,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Rejected
286,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Deferred
430,"Non-normative PEP containing background, guidelines or other information relevant to the Python ecosystem",Final
202,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Final
649,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Accepted
225,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Rejected
252,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Final
492,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Final
245,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Rejected
670,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Final
232,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Final
438,"Normative PEP describing or proposing a change to a Python community process, workflow or governance",Superseded
215,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Superseded
226,"Non-normative PEP containing background, guidelines or other information relevant to the Python ecosystem",Final
483,"Non-normative PEP containing background, guidelines or other information relevant to the Python ecosystem",Final
3111,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Final
461,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Final
524,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Final
320,"Non-normative PEP containing background, guidelines or other information relevant to the Python ecosystem",Final
307,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Final
377,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Rejected
323,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Deferred
203,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Final
647,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Accepted
367,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Superseded
700,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Accepted
692,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Accepted
665,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Rejected
3104,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Final
556,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Deferred
308,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Final
3000,"Normative PEP describing or proposing a change to a Python community process, workflow or governance",Final
557,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Final
382,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Rejected
735,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Draft
568,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Deferred
233,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Deferred
297,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Rejected
624,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Final
519,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Final
668,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Accepted
239,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Rejected
490,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Rejected
322,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Final
450,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Final
276,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Rejected
709,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Accepted
3122,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Rejected
330,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Rejected
603,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Draft
319,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Rejected
358,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Final
537,"Non-normative PEP containing background, guidelines or other information relevant to the Python ecosystem",Final
3152,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Rejected
418,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Final
494,"Non-normative PEP containing background, guidelines or other information relevant to the Python ecosystem",Final
467,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Draft
606,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Rejected
3117,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Rejected
288,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Withdrawn
3142,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Rejected
489,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Final
311,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Final
8103,"Non-normative PEP containing background, guidelines or other information relevant to the Python ecosystem",Final
421,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Final
590,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Accepted
283,"Non-normative PEP containing background, guidelines or other information relevant to the Python ecosystem",Final
374,"Normative PEP describing or proposing a change to a Python community process, workflow or governance",Final
683,"Normative PEP with a new feature for Python, implementation change for CPython or interoperability standard for the ecosystem",Accepted
8001,"Normative PEP describing or proposing a change to a Python community process, workflow or governance",Final
